ALEACION,Al,Mg,Zn,Mn,Cu,Fe,Si,Ni
5110,resto,0.30 - 0.60,0.05 max,0.03 max,,0.08 max,0.08 max,
5119,resto,4.50 - 5.60,0.20 max,0.20 - 0.60,0.05 max,0.40 max,0.25 max,
5149,resto,1.60 - 2.50,0.20 max,0.50 - 1.10,0.05 max,0.40 max,0.25 max,
5150,resto,1.30 - 1.70,0.10 max,0.03 max,0.10 max,0.10 max,0.08 max,
5151,resto,1.50 - 2.10,0.15 max,0.10 max,0.15 max,0.35 max,0.20 max,
5154,resto,3.10 - 3.90,0.20 max,0.10 max,0.10 max,0.40 max,0.25 max,
5180,resto,3.50 - 4.50,1.70 - 2.80,0.20 - 0.70,0.10 max,,,
5182,resto,4.00 - 5.00,0.25 max,0.20 - 0.50,0.15 max,0.35 max,0.20 max,
5183,resto,4.30 - 5.20,0.25 max,0.50 - 1.00,0.10 max,0.40 max,0.40 max,
5186,resto,3.80 - 4.80,0.40 max,0.20 - 0.50,0.25 max,0.45 max,0.40 max,
5205,resto,0.60 - 1.00,0.05 max,0.10 max,0.03 - 0.10,0.70 max,0.15 max,
5210,resto,0.35 - 0.60,0.04 max,0.03 max,,0.04 max,0.06 max,
5249,resto,1.60 - 2.50,0.20 max,0.50 - 1.10,0.05 max,0.40 max,0.25 max,
5250,resto,1.30 - 1.80,0.05 max,0.04 - 0.15,0.1,0.1,0.08,
5251,resto,1.70 - 2.40,0.15 max,0.10 - 0.50,0.15 max,0.50 max,0.40 max,
5556,resto,4.70 - 5.50,0.25 max,0.50 - 1.00,0.10 max,0.40 max,0.25 max,
5557,resto,0.40 - 0.80,,0.10 - 0.40,0.15 max,0.12 max,0.10 max,
5605,resto,0.80 - 1.10,0.01 max,,,0.008 max,0.01 max,
5652,resto,2.20 - 2.80,0.10 max,0.01 max,0.04 max,,,
5654,resto,3.10 - 3.90,0.20 max,0.01 max,0.05 max,,,
5657,resto,0.60 - 1.00,0.05 max,0.03 max,0.10 max,0.10 max,0.08 max,
5754,resto,2.60 - 3.60,0.20 max,0.50 max,0.10 max,0.40 max,0.40 max,
5854,resto,3.10 - 3.90,0.20 max,0.10 - 0.50,0.10 max,,,
5954,resto,3.30 - 4.10,0.20 max,0.10 max,0.10 max,0.40 max,0.25 max,
5252,resto,2.20 - 2.80,0.05 max,0.10 max,0.10 max,0.10 max,0.08 max,
5254,resto,3.10 - 3.90,0.20 max,0.01 max,0.05 max,0.40 max,0.25 max,
5257,resto,0.20 - 0.60,0.03 max,0.03 max,0.10 max,0.10 max,0.08 max,
5280,resto,3.50 - 4.50,1.50 - 2.80,0.20 - 0.70,0.10 max,,,
5283,resto,4.50 - 5.10,0.10 max,0.50 - 1.00,0.03 max,0.30 max,0.30 max,
5305,resto,0.70 - 1.10,0.05 max,0.03 max,,0.08 max,0.08 max,
5310,resto,0.35 - 0.60,0.01 max,,,0.008 max,0.01 max,
5349,resto,1.70 - 2.60,,0.60 - 1.20,0.18 - 0.28,0.70 max,0.40 max,
5351,resto,1.60 - 2.20,0.05 max,0.10 max,0.10 max,0.10 max,0.08 max,
5352,resto,2.20 - 2.80,0.10 max,0.10 max,0.10 max,,,
5354,resto,2.40 - 3.00,0.25 max,0.50 - 1.00,0.05 max,0.40 max,0.25 max,
5356,resto,4.50 - 5.50,0.10 max,0.05 - 0.20,0.10 max,0.40 max,0.25 max,
5357,resto,0.80 - 1.20,0.05 max,0.15 - 0.45,0.20 max,0.17 max,0.12 max,
5383,resto,4.00 - 5.20,0.40 max,0.70 - 1.00,0.20 max,0.25 max,0.25 max,
5449,resto,1.60 - 2.60,0.30 max,0.60 - 1.10,0.30 max,0.70 max,0.40 max,
5451,resto,1.80 - 2.40,0.1,0.1,0.1,0.4,0.25,
5454,resto,2.40 - 3.00,0.25 max,0.50 - 1.00,0.10 max,0.40 max,0.25 max,
5456,resto,4.70 - 5.50,0.25 max,0.50 - 1.00,0.10 max,0.40 max,0.25 max,
5457,resto,0.80 - 1.20,0.05 max,0.15 - 0.45,0.20 max,0.10 max,0.08 max,
5505,resto,0.80 - 1.10,0.04 max,0.03 max,,0.04 max,0.06 max,
5552,resto,2.20 - 2.80,0.05 max,0.10 max,0.10 max,0.05 max,0.04 max,
5554,resto,2.40 - 3.00,0.25 max,0.50 - 1.00,0.10 max,0.40 max,0.25 max,
6002,resto,0.45 - 0.70,,0.10 - 0.20,0.10 - 0.25,0.25 max,0.60 - 0.90,
6003,resto,0.80 - 1.50,0.20 max,0.80 max,0.10 max,0.60 max,0.35 - 1.00,
6004,resto,0.40 - 0.70,0.05 max,0.20 - 0.60,0.10 max,0.10 - 0.30,0.30 - 0.60,
6005,resto,0.40 - 0.60,0.10 max,0.10 max,0.10 max,0.35 max,0.60 - 0.90,
6006,resto,0.45 - 0.90,0.10 max,0.05 - 0.20,0.15 - 0.30,0.35 max,0.20 - 0.60,
6007,resto,0.60 - 0.90,0.25 max,0.05 - 0.25,0.20 max,0.70 max,0.90 - 1.40,
6008,resto,0.40 - 0.70,0.20 max,0.30 max,0.30 max,0.35 max,0.50 - 0.90,
6009,resto,0.40 - 0.80,0.25 max,0.20 - 0.80,0.15 - 0.60,0.50 max,0.60 - 1.00,
6010,resto,0.60 - 1.00,0.25 max,0.20 - 0.80,0.15 - 0.60,0.50 max,0.80 - 1.20,
6011,resto,0.60 - 1.20,1.50 max,0.80 max,0.40 - 0.90,1.00 max,0.60 - 1.20,
6012,resto,0.60 - 1.20,0.30 max,0.40 - 1.00,0.10 max,0.50 max,0.60 - 1.40,
6013,resto,0.80 - 1.20,0.25 max,0.20 - 0.80,0.60 - 1.10,0.50 max,0.60 - 1.00,
6014,resto,0.40 - 0.80,0.10 max,0.05 - 0.20,0.25 max,0.35 max,0.30 - 0.60,
6015,resto,0.80 - 1.10,0.10 max,0.10 max,0.10 - 0.25,0.10 - 0.30,0.20 - 0.40,
6016,resto,0.25 - 0.60,0.20 max,0.20 max,0.20 max,0.50 max,1.00 - 1.50,
6017,resto,0.45 - 0.60,0.05 max,0.10 max,0.05 - 0.20,0.15 - 0.30,0.55 - 0.70,
6018,resto,0.60 - 1.20,0.30 max,0.30 - 0.80,0.15 - 0.40,0.70 max,0.50 - 1.20,
6019,resto,0.80 - 1.20,0.40 - 1.00,0.10 max,0.20 - 0.60,0.50 max,0.60 - 1.00,
6020,resto,0.60 - 1.20,,0.35 max,0.30 - 0.90,0.50 max,0.40 - 0.90,
6022,resto,0.45 - 0.70,0.25 max,0.02 - 0.10,0.01 - 0.11,0.05 - 0.20,0.80 - 1.50,
6030,resto,0.80 - 1.20,0.25 max,0.15 max,0.15 - 0.40,0.70 max,0.40 - 0.80,
6053,resto,1.10 - 1.40,0.10 max,,0.10 max,0.35 max,45.00 - 65.00 of Mg,
6056,resto,0.60 - 1.20,0.10 - 0.70,0.40 - 1.00,0.50 - 1.10,0.50 max,0.70 - 1.30,
6060,resto,0.35 - 0.60,0.15 max,0.10 max,0.10 max,0.10 - 0.30,0.30 - 0.60,
6061,resto,0.80 - 1.20,0.25 max,0.15 max,0.15 - -0.40,0.70 max,0.40 - 0.80,
6063,resto,0.45 - 0.09,0.10 max,0.10 max,0.10 max,0.35 max,0.20 - 0.60,
6066,resto,0.80 - 1.40,0.25 max,0.60 - 1.10,0.70 - 1.20,,0.90 - 1.80,
6069,resto,1.20 - 1.60,0.05 max,0.05 max,0.55 - 1.00,0.40 max,0.60 - 1.20,
6070,resto,0.50 - 1.20,0.25 max,0.40 - 1.00,0.15 - 0.40,0.05 max,1.00 - 1.70,
6081,resto,0.60 - 1.00,0.20 max,0.10 - 0.45,0.10 max,0.50 max,0.70 - 1.10,
6082,resto,0.60 - 1.20,0.20 max,0.40 - 1.00,0.10 max,0.05 max,0.70 - 1.30,
6090,resto,0.80 - 1.20,0.25 max,0.15 max,0.30 - 0.90,0.70 max,0.40 - 0.80,
6091,resto,0.80 - 1.20,0.25 max,0.15 max,0.15 - 0.40,0.70 max,0.40 - 0.80,
6092,resto,0.80 - 1.20,0.25 max,0.15 max,0.70 - 1.00,0.30 max,0.40 - 0.80,
6101,resto,0.35 - 0.80,0.10 max,0.03 max,0.10 max,0.50 max,0.30 - 0.70,
6103,resto,0.80 - 1.50,0.20 max,0.80 max,0.20 - 0.30,0.60 max,0.35 - 1.00,
6105,resto,0.45 - 0.80,0.10 max,0.15 max,0.10 max,0.35 max,0.60 - 1.00,
6106,resto,0.40 - 0.80,0.10 max,0.05 - 0.20,0.25 max,0.35 max,0.30 - 0.60,
6110,resto,0.50 - 1.10,0.30 max,0.20 - 0.70,0.20 - 0.70,0.80 max,0.70 - 1.50,
6111,resto,0.50 - 1.00,0.15,0.10 - 0.45,0.50 - 0.90,0.4,0.60 - 1.10,
6113,resto,0.80 - 1.20,0.25 max,0.10 - 0.60,0.60 - 1.10,0.30 max,0.60 - 1.00,
6116,resto,0.25 - 0.60,0.20 max,0.15 max,0.20 max,0.25 max,0.90 - 1.30,
6151,resto,0.45 - 0.80,0.25 max,0.20 max,0.35 max,1.00 max,0.60 - 1.20,
6160,resto,0.35 - 0.60,0.05 max,0.05 max,0.20 max,0.15 max,0.30 - 0.60,
6162,resto,0.70 - 1.10,0.25 max,0.10 max,0.20 max,0.50 max,0.40 - 0.80,
6181,resto,0.60 - 1.00,0.20 max,0.15 max,0.10 max,0.45 max,0.80 - 1.20,
6201,resto,0.60 - 0.90,0.10 max,0.03 max,0.10 max,0.50 max,0.50 - 0.90,
6205,resto,0.40 - 0.60,0.25 max,0.05 - 0.15,0.20 max,0.70 max,0.60 - 0.90,
6206,resto,0.45 - 0.80,0.20 max,0.13 - 0.30,0.20 - 0.50,0.35 max,0.35 - 0.70,
6253,resto,1.00 - 1.50,1.60 - 2.40,,0.10 max,0.50 max,45.00 - 65.00 of Mg,
6260,resto,0.45 - 0.70,0.05 max,0.03 max,0.10 max,0.15 - 0.40,0.40 - 0.60,
6261,resto,0.70 - 1.00,0.20 max,0.20 - 0.35,0.15 - 0.40,0.40 max,0.40 - 0.70,
6262,resto,0.80 - 1.20,0.25 max,0.15 max,0.15 - 0.40,0.70 max,0.40 - 0.80,
6301,resto,0.60 - 0.90,0.25 max,0.15 max,0.10 max,0.70 max,0.50 - 0.90,
6306,resto,0.45 - 0.90,0.05 max,0.10 - 0.40,0.05 - 0.16,0.10 max,0.20 - 0.60,
6351,resto,0.40 - 0.80,0.20 max,0.40 - 0.80,0.10 max,0.50 max,0.70 - 1.30,
6401,resto,0.35 - 0.70,0.04 max,0.03 max,0.05 - 0.20,0.04 max,0.35 - 0.70,
6463,resto,0.45 - 0.90,0.05 max,0.05 max,0.20 max,0.15 max,0.20 - 0.60,
6763,resto,0.45 - 0.90,0.03 max,0.03 max,0.04 - 0.16,0.08 max,0.20 - 0.60,
6863,resto,0.50 - 0.80,0.10 max,0.05 max,0.05 - 0.20,0.15 max,0.40 - 0.60,
6951,resto,0.40 - 0.80,0.20 max,0.10 max,0.15 - 0.40,0.80 max,0.20 - 0.50,
6963,resto,0.35 - 0.70,0.10 max,0.05 max,0.15 - 0.25,0.25 max,0.40 - 0.60,
7090,resto,2.00 - 3.00,7.30 - 8.70,,0.60 - 1.30,0.15,0.12,
7091,resto,2.00 - 3.00,5.80 - 7.10,,1.10 - 1.80,0.15,0.12,
7093,resto,2.00 - 3.00,8.30 - 9.70,,1.10 - 1.90,0.15 max,0.12 max,
7104,resto,0.50 - 0.90,3.60 - 4.40,,0.03 max,0.40 max,0.25 max,
7108,resto,0.70 - 1.40,4.50 - 5.50,0.05 max,0.05 max,0.10 max,0.10 max,
7109,resto,2.20 - 2.70,5.80 - 6.50,0.10 max,0.80 - 1.30,0.15 max,0.10 max,
7116,resto,0.80 - 1.40,4.20 - 5.20,0.05 max,0.50 - 1.10,0.30 max,0.15 max,
7129,resto,1.30 - 2.00,4.20 - 5.20,0.10 max,0.50 - 0.90,0.30 max,0.15 max,
7146,resto,1.00 - 1.60,6.60 - 7.60,0.20 max,1.20 - 1.90,0.40 max,0.20 max,
7149,resto,2.00 - 2.90,7.20 - 8.20,0.20 max,1.20 - 1.90,0.20 max,0.15 max,
7150,resto,2.00 - 2.70,5.90 - 6.90,0.10 max,1.90 - 2.50,0.15 max,0.12 max,
7175,resto,2.10 - 2.90,5.10 - 6.10,0.10 max,1.20 - 2.00,0.20 max,0.15 max,
7178,resto,2.40 - 3.10,6.30 - 7.30,0.30 max,1.60 - 2.40,0.50 max,0.40 max,
7179,resto,2.90 - 3.70,3.80 - 4.80,0.10 - 0.30,0.40 - 0.80,0.20 max,0.15 max,
7229,resto,1.30 - 2.00,4.20 - 5.20,0.03 max,0.50 - 0.90,0.08 max,0.06,
7249,resto,2.00 - 2.40,7.50 - 8.20,0.10 max,1.30 - 1.90,0.12 max,0.10 max,
7277,resto,1.70 - 2.30,3.70 - 4.30,,0.80 - 1.70,0.70 max,0.50 max,
7278,resto,2.50 - 3.20,6.60 - 7.40,0.02 max,1.60 - 2.20,0.20 max,0.15 max,
7349,resto,1.80 - 2.70,7.50 - 8.70,0.20 max,1.40 - 2.10,0.15 max,0.12 max,
7449,resto,1.80 - 2.70,7.50 - 8.70,0.20 max,1.40 - 2.10,0.15 max,0.12 max,
7472,resto,0.90 - 1.50,1.30 - 1.90,0.05 max,0.05 max,0.60 max,0.25 max,
7475,resto,1.90 - 2.60,5.20 - 6.20,0.06 max,1.20 - 1.90,0.12 max,0.10 max,
8023,resto,0.20 max,0.005 max,0.10 - 0.40,1.30 - 1.60,0.30 - 0.60,,
8030,resto,0.10 max,0.05 max,0.15 - 0.30,0.30 - 0.80,,0.05 max,
8040,resto,,,0.20 max,,0.05 max,0.20 max,
8050,resto,0.15 - 0.30,0.05 max,0.05 max,1.10 - 1.20,0.45 - 0.55,0.10 max,
8076,resto,0.10 max,0.08 - 0.22,0.04 max,0.60 - 0.90,,0.05 max,
8077,resto,0.10 max,0.10 - 0.30,0.05 max,0.10 - 0.40,,0.05 max,
8079,resto,0.05 - 0.30,,0.05 max,0.70 - 1.30,,0.10 max,
8081,resto,0.70 max,,0.70 - 1.30,0.70 max,0.10 max,0.05 max,
8090,resto,0.20 max,0.60 - 1.30,1.00 - 1.60,0.30 max,0.10 max,0.25 max,
8091,resto,0.30 max,0.50 - 1.20,1.60 - 2.20,0.50 max,0.10 max,0.25 max,
8093,resto,0.10 max,0.90 - 1.60,1.00 - 1.60,0.10 max,0.10 max,0.25 max,
8111,resto,0.30 - 1.10,0.05 max,0.10 max,0.40 - 1.00,0.10 max,0.10 max,
8112,resto,1.00 max,0.70 max,0.40 max,1.00 max,0.60 max,1.00 max,
8130,resto,0.15 max,,0.05 - 0.15,0.40 - 1.00,,0.10 max,
8150,resto,0.30 max,,,0.90 - 1.30,0.20 - 0.70,,
8176,resto,0.03 - 0.15,,,0.40 - 1.00,,0.10 max,
8177,resto,0.1,0.04 - 0.12,0.04,0.25 - 0.45,,0.05,
8211,resto,0.40 - 0.80,0.10 max,0.10 max,0.50 - 1.00,0.05 - 0.20,0.10 max,
8276,resto,0.25 max,0.02 max,0.035 max,0.50 - 0.80,0.01 max,0.05 max,
8280,resto,1.00 - 2.00,,0.70 - 1.30,0.70 max,,0.05 max,
